sourceExiting11,sourceEntering11,s11a,s11m,monitorExiting12,monitorEntering12,s12a,s12m,s12a_enter,s12m_enter,monitorExiting21,monitorEntering21,s21a,s21m,s21a_enter,s21m_enter,sourceExiting22,sourceEntering22,s22a,s22m,wavelengths,freqs
(-0.06438977494684167+0.1874536067310965j),(2.8586727188832355-4.703438351372238j),2.926339468928382,0.03601074046229947,(4.310006337886756+5.596969401834433j),(-0.11466896602405366-0.20620216457972204j),1.9392527202509868,1.2834506547360507,-1.0536373238930523,0.042867014178113984,(4.3109131068718725+5.600649630425553j),(-0.12037458627712642-0.22831126898189927j),1.939430740675591,1.2836478412763543,-1.0313616580403362,0.04687726314276398,(-0.03564053635469672+0.19020248256167482j),(2.859816219034204-4.704916633400096j),2.780665562865651,0.035146540584394384,1.5244897959183674,0.6559571619812583
(-0.021813257131320953+0.19949686259337326j),(1.8128810078084865-5.316943800918222j),2.9218999136511643,0.03572505114413443,(5.5809660557744705+4.555259949340459j),(-0.16140710344103293-0.17775980503746644j),1.9267442208495653,1.2824180103853466,-1.0658226009814558,0.04274238469952818,(5.58272439551535+4.558702282350663j),(-0.17235526807578433-0.1983984302426697j),1.9269192933071637,1.2826214171672417,-1.0439116340804127,0.04676823295254082,(0.00736943371277158+0.19502024516991412j),(1.8137002561841276-5.318638434502203j),2.7751804642320304,0.03472971377363169,1.526530612244898,0.6550802139037433
(0.022740320182310376+0.20151417055069618j),(0.6376698667262373-5.686970015796731j),2.9175589723362507,0.03543719515140239,(6.5864196768311825+3.2234304745790485j),(-0.200671692284905-0.13861174377534066j),1.9142707058102082,1.2813911842789956,-1.0779747673501106,0.04261867874340033,(6.588961263088871+3.22643437041865j),(-0.21644546734767445-0.15651347406830113j),1.9144426844283404,1.281600670022436,-1.056434642492286,0.04666010088031342,(0.05049863677130218+0.18980703360306142j),(0.6381264087233659-5.688806893301146j),2.7698584156975796,0.03431048042679484,1.5285714285714287,0.6542056074766355
(0.06684683346196614+0.19328396778489904j),(-0.6081111391059155-5.786992217285441j),2.913319861265519,0.035147285334172385,(7.260267676353648+1.6719190267232649j),(-0.2300024739067428-0.09080190838603394j),1.9018320234373163,1.2803701209073577,-1.0900940952112774,0.04249588752721959,(7.263476397784311+1.6743045425406757j),(-0.24987469364752232-0.10482559493222746j),1.902000766232273,1.2805855393389343,-1.0689310288225675,0.04655285386733798,(0.09135909251385094+0.1748274161609976j),(-0.6080383926012172-5.788891305215171j),2.7647062693504503,0.033889008844567296,1.530612244897959,0.6533333333333333
(0.10810160140886771+0.17518092633445023j),(-1.860471930978526-5.605127360105472j),2.9091858697055546,0.0348554356760794,(7.555636728693096-0.013972059277304315j),(-0.24751283742123123-0.03693577168766652j),1.8894280230713703,1.2793547655744635,-1.1021808518629064,0.04237400213687738,(7.559355031242317-0.012352830116443916j),(-0.2704848942320969-0.04614215506953485j),1.8895933920734411,1.2795759656093109,-1.0814011301579998,0.04644647861509069,(0.12771096805662732+0.1509202145284092j),(-1.860786135811044-5.607006803545779j),2.759731188419129,0.033465470466143954,1.5326530612244897,0.6524633821571239
(0.14426719311874406+0.14814987498231308j),(-3.054001530480195-5.145016872880175j),2.9051603612680132,0.03456176133755114,(7.448119790107085-1.7394229956876652j),(-0.25201523706847717+0.019983117919159816j),1.8770585550970642,1.2783450643792775,-1.1142352992642428,0.042253013519939195,(7.452157744800894-1.7386764523942626j),(-0.2768748153051739+0.01626695586996541j),1.8772204164743413,1.2785718903106063,-1.0938452746378355,0.04634096158839385,(0.1576005070473034+0.11943816730504563j),(-3.0546883026920506-5.146797006325722j),2.754940661503735,0.033040040055497384,1.5346938775510204,0.6515957446808511
(0.17340857130004705+0.113643153224004j),(-4.125694461007587-4.425751880985098j),2.9012467746756156,0.03426637870907754,(6.937513357485423-3.4061054329318465j),(-0.24309969174484547+0.07674334100129916j),1.8647234709744356,1.2773409641870914,-1.1262576933533612,0.04213291248416915,(6.941659843468407-3.406289598957219j),(-0.26849361381203546+0.07887634118479211j),1.8648816951533296,1.2775732558845176,-1.1062637807468532,0.04623628902391435,(0.17947619247504795+0.08215495804165293j),(-4.126723145929605-4.427358927557282j),2.750342516917025,0.032612895906151025,1.536734693877551,0.650730411686587
(0.1940066483040401+0.0735263599960832j),(-5.018636010218764-3.4808475938485315j),2.8974486237621098,0.033969405462616904,(6.047934702660151-4.918429453458557j),(-0.2211601971797023+0.13012907143616767j),1.8524226232886856,1.2763424126105962,-1.1382482832149508,0.04201368970743069,(6.0519699542902385-4.919550160854587j),(-0.24567743528059155+0.13812881896401247j),1.8525770850690368,1.2765800057271366,-1.1186569564915911,0.04613244695006893,(0.19227568560204875+0.041146962343182776j),(-5.019961695473802-3.48221687283525j),2.745944936900015,0.0321842200554349,1.5387755102040817,0.649867374005305
(0.2050430973741583+0.029959571862198466j),(-5.6853100855108405-2.356337615455499j),2.893769496745831,0.03367096058853163,(4.826321156152312-6.189591541639354j),(-0.1873677315571682+0.17712254297241528j),1.8401558658069281,1.2753493580141784,-1.1502073102725223,0.04189533576156157,(4.830029836656687-6.191601901479306j),(-0.2096268991488315+0.19066012783586306j),1.8403064444699497,1.2755920842004662,-1.131025098620785,0.046029421220787896,(0.19547846241382097-0.0013413418047402278j),(-5.686876193934478-2.3574161243629654j),2.74175647165114,0.031754198497263665,1.5408163265306123,0.6490066225165563
(0.20605149830073602-0.014737374619527484j),(-6.090321440047778-1.10811708470626j),2.890213055005177,0.033371164409428465,(3.3394306780394833-7.1470064748127955j),(-0.14359240880830462+0.21509156597040727j),1.8279230535267932,1.2743617495446762,-1.1621350076789085,0.04177784114842993,(3.342614617815574-7.149809637863367j),(-0.16232773644483148+0.23350906415545694j),1.828069632934877,1.2746094366681917,-1.1433684920483091,0.04592719756118083,(0.18912173965021822-0.04303851004209463j),(-6.0920627209391505-1.1088653720512633j),2.737786053288894,0.0313230213849557,1.542857142857143,0.6481481481481481
(0.19713241520678507-0.05822610787102173j),(-6.212366089122065+0.20128832901176805j),2.886783031698776,0.03307013856841901,(1.6695688986175454-7.736757073315228j),(-0.09228092845302464+0.24194948378337724j),1.8157240427028973,1.2733795371812666,-1.1740316000360165,0.04166119634280711,(1.672058673896649-7.740212060698411j),(-0.10642086826257227+0.26429882495225626j),1.8158665113912913,1.2736320095482079,-1.1556874095954104,0.04582576161958251,(0.17378001995514286-0.0817839541651899j),(-6.214211822834624+0.20089503443216397j),2.734043010002282,0.03089088322053193,1.5448979591836736,0.6472919418758256
