,dw,dh,neff,ng
108,0.024,0.016000000000000004,2.4583770915687673,4.202343450621337
109,0.024,0.02,2.474617978416737,4.210359256416158
110,0.03,-0.02,2.3213392296899955,4.13114793450673
111,0.03,-0.016,2.3419053657105406,4.1467980458275395
112,0.03,-0.012,2.3632782209541285,4.164393094276101
113,0.03,-0.008,2.376601534895737,4.164835835707601
114,0.03,-0.004,2.3901424604322288,4.165878313893757
115,0.03,0.0,2.404230233325585,4.16816894950373
116,0.03,0.004,2.41959455381274,4.170372956631894
117,0.03,0.008,2.434213287045224,4.176824309233289
118,0.03,0.012,2.450187837861119,4.183405375723479
119,0.03,0.016000000000000004,2.4668707761761084,4.191657805317549
120,0.03,0.02,2.4831067318544484,4.199552253636657
