,s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths,freqs
30,3.303864482956006,-1.3124273208111148,-1.3124273208111148,3.303864482956006,0.027184862974239516,0.9989450778142541,0.9989450778142541,0.027184862974239516,1.5612244897959184,0.6405228758169934
31,3.309309497802985,-1.347827843032116,-1.347827843032116,3.309309497802985,0.02744096523853874,0.9989442602770229,0.9989442602770229,0.02744096523853874,1.563265306122449,0.639686684073107
32,3.313787539039905,-1.3831309313903581,-1.3831309313903581,3.313787539039905,0.02770645428757908,0.9989431191650853,0.9989431191650853,0.02770645428757908,1.5653061224489797,0.6388526727509778
33,3.3173060460902746,-1.4183369718902807,-1.4183369718902807,3.3173060460902746,0.027979278782391283,0.998941705216448,0.998941705216448,0.027979278782391283,1.5673469387755103,0.6380208333333333
34,3.3198790835898233,-1.4534463527168153,-1.4534463527168153,3.3198790835898233,0.028257439219531912,0.9989400703705125,0.9989400703705125,0.028257439219531912,1.569387755102041,0.6371911573472041
35,3.321526332448891,-1.4884594642581868,-1.4884594642581868,3.321526332448891,0.028538999196682117,0.998938267377036,0.998938267377036,0.028538999196682117,1.5714285714285714,0.6363636363636364
36,3.322272135941043,-1.523376699094889,-1.523376699094889,3.322272135941043,0.028822094316734485,0.9989363494128686,0.9989363494128686,0.028822094316734485,1.573469387755102,0.6355382619974059
37,3.322144618631425,-1.5581984519557537,-1.5581984519557537,3.322144618631425,0.02910493897072637,0.998934369709319,0.998934369709319,0.02910493897072637,1.5755102040816327,0.6347150259067358
38,3.3211748890048227,-1.592925119650996,-1.592925119650996,3.3211748890048227,0.029385831255935774,0.9989323811939946,0.9989323811939946,0.029385831255935774,1.5775510204081633,0.6338939197930142
39,3.3193963309474643,-1.627557100956065,-1.627557100956065,3.3193963309474643,0.02966315628699747,0.998930436147801,0.998930436147801,0.02966315628699747,1.579591836734694,0.6330749354005167
40,3.316843984771375,-1.662094796494498,-1.662094796494498,3.316843984771375,0.029935388148784436,0.9989285858844198,0.9989285858844198,0.029935388148784436,1.5816326530612246,0.632258064516129
41,3.313554015152468,-1.6965386085893694,-1.6965386085893694,3.313554015152468,0.030201090723401346,0.9989268804513137,0.9989268804513137,0.030201090723401346,1.5836734693877552,0.6314432989690721
42,3.3095632610326042,-1.7308889410711255,-1.7308889410711255,3.3095632610326042,0.030458917602764857,0.998925368351985,0.998925368351985,0.030458917602764857,1.5857142857142856,0.6306306306306306
43,3.3049088610508655,-1.765146199121482,-1.765146199121482,3.3049088610508655,0.030707611274616253,0.9989240962991914,0.9989240962991914,0.030707611274616253,1.5877551020408165,0.6298200514138816
44,3.299627947251526,-1.7993107890497206,-1.7993107890497206,3.299627947251526,0.030946001745634708,0.9989231089843731,0.9989231089843731,0.030946001745634708,1.5897959183673471,0.6290115532734274
45,3.2937573995161387,-1.8333831181002536,-1.8333831181002536,3.2937573995161387,0.031173004741169415,0.9989224488757655,0.9989224488757655,0.031173004741169415,1.5918367346938775,0.6282051282051282
46,3.287333653244196,-1.8673635942340767,-1.8673635942340767,3.287333653244196,0.03138761959860227,0.9989221560357762,0.9989221560357762,0.03138761959860227,1.5938775510204082,0.6274007682458387
47,3.280392553161572,-1.901252625910321,-1.901252625910321,3.280392553161572,0.031588926950467895,0.9989222679593697,0.9989222679593697,0.031588926950467895,1.5959183673469388,0.6265984654731458
48,3.2729694102651696,-1.935050621632846,-1.935050621632846,3.2729694102651696,0.03177607800353703,0.998922818382751,0.998922818382751,0.03177607800353703,1.5979591836734695,0.6257982120051085
49,3.2650982682286926,-1.9687579906816837,-1.9687579906816837,3.2650982682286926,0.03194832514739794,0.9989238414274161,0.9989238414274161,0.03194832514739794,1.6,0.625
